FOLIO,VIV_SEL,HOGAR,N_REN,P12_1_1,P12_1_2,P12_1_3,P12_2,P12_3_1,P12_3_2,P12_3_3,P12_3_4,P12_3_5,P12_4_1,P12_4_2,P12_4_3,P12_4_4,P12_4_5,P12_4_6,P12_5_1,P12_5_2,P12_5_3,P12_5_4,P12_5_5,P12_5_6,P12_5_7,P12_6_1,P12_6_2,P12_6_3,P12_6_4,P12_6_5,P12_6_6,ENT,EST_DIS,UPM_DIS,FACTOR
0100019,01,1,01,2,2,2,3,3,5,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,01,003,0000001,336
0100019,03,1,02,1,1,2,2,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,01,003,0000001,633
0100019,04,1,02,2,1,2,2,4,4,5,5,4,4,3,3,3,3,3,2,2,2,1,1,2,2,2,2,2,2,2,2,01,003,0000001,1267
0100019,05,1,02,2,2,2,1,4,4,3,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,003,0000001,633
0100036,01,1,01,2,2,2,2,4,5,2,3,5,1,5,3,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,01,002,0000002,240
0100036,04,1,01,2,2,2,3,2,5,4,4,3,2,5,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,01,002,0000002,254
0100036,05,1,02,2,2,2,1,4,5,1,1,3,3,5,3,3,3,3,1,1,1,2,2,1,1,2,1,2,1,2,2,01,002,0000002,479
0100038,01,1,02,1,1,1,1,4,4,5,5,5,3,3,3,3,3,3,2,2,2,3,2,2,1,2,2,2,2,2,2,01,002,0000003,867
0100038,02,1,02,1,1,1,3,2,2,2,1,1,2,5,1,2,2,2,2,1,1,2,1,1,2,2,2,1,2,2,2,01,002,0000003,461
0100038,03,1,02,2,2,2,2,1,5,1,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000003,691
0100038,04,1,02,1,1,1,3,3,3,2,2,2,2,2,1,1,1,1,1,3,2,1,1,1,2,2,2,2,2,2,2,01,002,0000003,921
0100038,05,1,01,2,1,1,9,4,5,3,1,5,2,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000003,650
0100048,01,1,02,2,2,2,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,001,0000004,495
0100048,02,1,01,2,2,2,1,4,5,4,4,5,2,5,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,01,001,0000004,495
0100048,02,2,01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,001,0000004,248
0100048,03,1,01,1,9,2,1,2,5,2,2,5,2,2,1,2,2,2,1,2,2,1,1,1,2,2,2,2,1,2,2,01,001,0000004,495
0100048,04,1,02,1,1,2,3,4,4,3,4,3,4,3,1,2,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,01,001,0000004,1052
0100048,05,1,01,2,2,2,4,4,5,1,1,5,3,5,1,1,3,2,1,1,1,1,1,1,1,2,2,2,2,2,2,01,001,0000004,991
0100050,01,1,01,2,2,2,3,4,3,1,3,5,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,01,002,0000005,581
0100050,03,1,03,2,1,1,3,2,1,1,1,1,3,2,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,01,002,0000005,1094
0100050,04,1,01,2,2,2,9,4,5,4,4,4,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,002,0000005,820
0100055,01,1,03,1,1,1,2,3,3,3,3,3,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,001,0000006,845
0100055,02,1,02,2,1,1,4,3,3,3,3,2,4,3,4,4,3,4,4,3,4,4,4,4,3,2,2,2,2,2,2,01,001,0000006,449
0100055,04,1,01,2,2,2,9,4,4,4,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,01,001,0000006,211
0100056,02,1,02,1,1,2,1,3,3,3,5,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,01,002,0000007,386
0100075,01,1,03,1,1,1,3,3,3,2,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,9,01,002,0000008,891
