Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Afghanistan,AFG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,1992.424394
Africa Eastern and Southern,AFE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3967.860937
Africa Western and Central,AFW,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4814.611443
Albania,ALB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,18244.29201
Algeria,DZA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,15159.32424
American Samoa,ASM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Andorra,AND,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,64631.29639
Angola,AGO,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,7244.893053
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,28967.25568
Arab World,ARB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,16028.41578
Argentina,ARG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,27104.98
Armenia,ARM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,19230.18993
Aruba,ABW,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,40516.80856
Australia,AUS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,59552.88033
Austria,AUT,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,65015.13459
Azerbaijan,AZE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,21262.298
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,33105.60386
Bahrain,BHR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,57213.09136
Bangladesh,BGD,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,8242.39799
Barbados,BRB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,19224.46212
Belarus,BLR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,27718.32312
Belgium,BEL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,64185.84679
Belize,BLZ,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,12455.29607
Benin,BEN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3721.224527
Bermuda,BMU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,98041.68872
Bhutan,BTN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Bolivia,BOL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,9843.970142
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,20126.3804
Botswana,BWA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,18846.25046
Brazil,BRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,19018.23907
British Virgin Islands,VGB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Brunei Darussalam,BRN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,76828.39983
Bulgaria,BGR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,33403.37622
Burkina Faso,BFA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2482.072253
Burundi,BDI,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,828.8610743
Cabo Verde,CPV,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,9288.40217
Cambodia,KHM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,6690.589426
Cameroon,CMR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4870.570765
Canada,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,55918.9297
Caribbean small states,CSS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,28493.05893
Cayman Islands,CYM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,78109.35066
Central African Republic,CAF,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,1135.136277
Central Europe and the Baltics,CEB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,42759.75911
Chad,TCD,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,1679.461532
Channel Islands,CHI,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Chile,CHL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,29462.64048
China,CHN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,22137.59983
Colombia,COL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,18692.38453
Comoros,COM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3498.803271
Congo,COG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,6172.287767
Congo (Kinshasa),COD,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,1455.835623
Costa Rica,CRI,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,26292.77148
Cote d'Ivoire,CIV,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,6485.315849
Croatia,HRV,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,41116.87047
Cuba,CUB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Curacao,CUW,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,28886.68749
Cyprus,CYP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,53420.68359
Czechia,CZE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,49681.05807
Denmark,DNK,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,72097.30383
Djibouti,DJI,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,6400.620163
Dominica,DMA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,17420.25125
Dominican Republic,DOM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,23087.93436
Early-demographic dividend,EAR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,11629.13428
East Asia & Pacific,EAS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,22687.8377
East Asia & Pacific (excluding high income),EAP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,19154.26457
East Asia & Pacific (IDA & IBRD countries),TEA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,19369.55064
Ecuador,ECU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,14472.31651
Egypt,EGY,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,16691.13324
El Salvador,SLV,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,11404.33423
Equatorial Guinea,GNQ,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,15688.23842
Eritrea,ERI,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Estonia,EST,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,42471.82368
Eswatini,SWZ,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,10132.18726
Ethiopia,ETH,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2755.457096
Euro area,EMU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,56609.85883
Europe & Central Asia,ECS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,44432.61351
Europe & Central Asia (excluding high income),ECA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,23362.286
Europe & Central Asia (IDA & IBRD countries),TEC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,31401.21766
European Union,EUU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,54446.86309
Faroe Islands,FRO,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,70373.37693
Fiji,FJI,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,13652.49087
Finland,FIN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,57063.52499
Fragile and conflict affected situations,FCS,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5043.405206
France,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,55441.1858
French Polynesia,PYF,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Gabon,GAB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,18702.69052
"Gambia, The",GMB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2932.280595
Georgia,GEO,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,22590.52935
Germany,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,63578.1411
Ghana,GHA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,6796.473619
Gibraltar,GIB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Greece,GRC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,36905.45358
Greenland,GRL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Grenada,GRD,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,16946.47316
Guam,GUM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Guatemala,GTM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,12389.38587
Guinea,GIN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3949.340135
Guinea-Bissau,GNB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2578.804534
Guyana,GUY,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,49315.16031
Haiti,HTI,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2956.462137
Heavily indebted poor countries (HIPC),HPC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3055.758154
High income,HIC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,57577.62131
Honduras,HND,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,6468.301921
Hong Kong,HKG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,64467.57568
Hungary,HUN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,40543.99363
IBRD only,IBD,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,17522.2431
Iceland,ISL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,67255.67201
IDA & IBRD total,IBT,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,13946.52602
IDA blend,IDB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5732.936544
IDA only,IDX,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4165.165446
IDA total,IDA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4668.546047
India,IND,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,9160.063654
Indonesia,IDN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,13889.88288
Iran,IRN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,15912.02992
Iraq,IRQ,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,12711.06167
Ireland,IRL,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,114922.3927
Isle of Man,IMN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..
Israel,ISR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,48432.10965
Italy,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,53312.06987
Jamaica,JAM,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,10291.31267
Japan,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,46157.63602
Jordan,JOR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,9362.587761
Kazakhstan,KAZ,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,34703.23493
Kenya,KEN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5682.989162
Kiribati,KIR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3195.870398
